what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321073874943
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321073897523
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321073904745
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321073908033
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321073917834
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1321073918047
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.copy",1321073919998
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1321073920702
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1321073923230
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.copy",1321073927949
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1321073928977
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321073936506
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321073939291
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321073949125
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321073952654
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321073956659
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321073966097
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321073969248
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321073974189
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321073981555
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1321073998355
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.moveLineDown",1321074008132
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.moveLineDown",1321074008362
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.moveLineUp",1321074009674
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.moveLineUp",1321074009865
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.cut",1321074014695
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1321074018518
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321074019567
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321074022390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321074026006
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321074028785
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321074032258
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321074033583
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321074163188
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1321074166022
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321074168864
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321074172523
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321074175713
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321074183386
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321074183652
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321074205815
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321074209829
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321074212325
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321074222375
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321074343191
