what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320639986383
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320639996876
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320639998844
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110309-1800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320640011590
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110309-1800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320640011641
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1320640018207
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110309-1800,"org.eclipse.jdt.ui.CompilationUnitEditor",1320640018207
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1320640019399
activated,view,org.eclipse.ui.ide,3.7.0.I20110310-1100,"org.eclipse.ui.views.ResourceNavigator",1320640024411
opened,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1320640025386
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1320640025414
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1320640029555
closed,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1320640029555
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1320640030710
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1320640033524
closed,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1320640033525
opened,editor,org.eclipse.ui.editors,3.7.0.v20110307-2000a,"org.eclipse.ui.DefaultTextEditor",1320640034856
activated,editor,org.eclipse.ui.editors,3.7.0.v20110307-2000a,"org.eclipse.ui.DefaultTextEditor",1320640034890
activated,editor,org.eclipse.ui.editors,3.7.0.v20110307-2000a,"org.eclipse.ui.DefaultTextEditor",1320640038053
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320640046070
activated,view,org.eclipse.ui.ide,3.7.0.I20110310-1100,"org.eclipse.ui.views.ResourceNavigator",1320640051005
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320640051120
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320640054039
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320640074147
activated,view,org.eclipse.ui.console,3.5.100.v20110207,"org.eclipse.ui.console.ConsoleView",1320640076042
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320640083994
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320640085463
executed,command,org.eclipse.ui.ide,3.7.0.I20110310-1100,"org.eclipse.ui.project.cleanAction",1320640085493
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320640093067
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320640093097
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320640093103
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320640098331
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320640099847
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320640103267
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320640108629
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320640111820
activated,view,org.eclipse.ui.ide,3.7.0.I20110310-1100,"org.eclipse.ui.views.ResourceNavigator",1320640123950
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320640133482
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320640175270
activated,view,org.eclipse.ui.console,3.5.100.v20110207,"org.eclipse.ui.console.ConsoleView",1320640175274
executed,command,org.eclipse.ui.ide,3.7.0.I20110310-1100,"org.eclipse.ui.project.cleanAction",1320640175323
activated,view,org.eclipse.ui.ide,3.7.0.I20110310-1100,"org.eclipse.ui.views.ResourceNavigator",1320640184777
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110309-1800,"org.eclipse.jdt.ui.PropertiesFileEditor",1320640185230
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110309-1800,"org.eclipse.jdt.ui.PropertiesFileEditor",1320640185253
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320640199311
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320640199374
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320640199381
