what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201110061050,"org.eclipse.jst.jsf.ui",1321069787701
started,bundle,org.eclipse.jst.jsp.core,1.2.308.v201109202150,"org.eclipse.jst.jsp.core",1321069787702
started,bundle,org.eclipse.jst.jsp.ui,1.1.505.v201110211728,"org.eclipse.jst.jsp.ui",1321069787703
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.202.v201108180247,"org.eclipse.jst.ws.jaxrs.core",1321069787703
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1321069787704
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.4.v201106210700,"org.eclipse.wst.common.emfworkbench.integration",1321069787704
started,bundle,org.eclipse.wst.common.frameworks,1.2.1.v201107271600,"org.eclipse.wst.common.frameworks",1321069787704
started,bundle,org.eclipse.wst.common.modulecore,1.2.7.v201110060300,"org.eclipse.wst.common.modulecore",1321069787705
started,bundle,org.eclipse.wst.css.core,1.1.403.v201103021532,"org.eclipse.wst.css.core",1321069787705
started,bundle,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.ui",1321069787706
started,bundle,org.eclipse.wst.html.core,1.1.406.v201109271810,"org.eclipse.wst.html.core",1321069787706
started,bundle,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.ui",1321069787707
started,bundle,org.eclipse.wst.jsdt.core,1.1.8.v201109150205,"org.eclipse.wst.jsdt.core",1321069787708
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1321069787708
started,bundle,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui",1321069787708
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.306.v201110262304,"org.eclipse.wst.jsdt.web.core",1321069787708
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.305.v201110211728,"org.eclipse.wst.jsdt.web.ui",1321069787709
started,bundle,org.eclipse.wst.sse.core,1.1.506.v201110201853,"org.eclipse.wst.sse.core",1321069787710
started,bundle,org.eclipse.wst.sse.ui,1.2.5.v201108191505,"org.eclipse.wst.sse.ui",1321069787710
started,bundle,org.eclipse.wst.validation,1.2.204.v201109220700,"org.eclipse.wst.validation",1321069787710
started,bundle,org.eclipse.wst.xml.core,1.1.505.v201109271810,"org.eclipse.wst.xml.core",1321069787711
started,bundle,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui",1321069787712
os,sysinfo,,,"macosx",1321069787715
arch,sysinfo,,,"x86",1321069787715
ws,sysinfo,,,"cocoa",1321069787715
locale,sysinfo,,,"en_US",1321069787715
processors,sysinfo,,,"2",1321069787715
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1321069787715
java.runtime.version,sysinfo,,,"1.6.0_26-b03-384-10M3425",1321069787715
java.specification.name,sysinfo,,,"Java Platform API Specification",1321069787715
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1321069787715
java.specification.version,sysinfo,,,"1.6",1321069787715
java.vendor,sysinfo,,,"Apple Inc.",1321069787715
java.version,sysinfo,,,"1.6.0_26",1321069787715
java.vm.info,sysinfo,,,"mixed mode",1321069787715
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1321069787715
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1321069787715
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1321069787715
java.vm.specification.version,sysinfo,,,"1.0",1321069787715
java.vm.vendor,sysinfo,,,"Apple Inc.",1321069787715
java.vm.version,sysinfo,,,"20.1-b02-384",1321069787715
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1321069787750
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1321069787890
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1321069787932
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1321069787932
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1321069787933
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1321069787933
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1321069787936
started,bundle,org.eclipse.compare,3.5.200.I20110208-0800,"org.eclipse.compare",1321069788003
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1321069788035
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1321069788778
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110305-1450,"org.eclipse.jdt.apt.core",1321069789978
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1321069791188
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321069814236
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.6.v201109150205,"org.eclipse.wst.jsdt.debug.ui",1321069821075
activated,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1321069821082
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321069842379
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321069844126
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321069844237
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321069853594
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321069855249
opened,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1321069866272
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1321069866307
activated,view,org.eclipse.ui.ide,3.7.0.I20110310-1100,"org.eclipse.ui.views.ResourceNavigator",1321069873241
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1321069878580
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321069909032
activated,view,org.eclipse.ui.ide,3.7.0.I20110310-1100,"org.eclipse.ui.views.ResourceNavigator",1321069910849
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321069918027
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.copy",1321069938599
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321069968451
started,bundle,org.eclipse.wst.server.core,1.1.208.v20111005_1734,"org.eclipse.wst.server.core",1321069971619
started,bundle,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui",1321069971636
started,bundle,com.adobe.flexbuilder.flexunit,4.5.1.313231,"com.adobe.flexbuilder.flexunit",1321069971649
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110306-1700,"org.eclipse.jdt.junit",1321069971779
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110207,"org.eclipse.jdt.debug",1321069971810
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110207,"org.eclipse.jdt.debug.ui",1321069971858
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110309-1800,"org.eclipse.jdt.junit.core",1321069971870
opened,view,org.eclipse.ui.console,3.5.100.v20110207,"org.eclipse.ui.console.ConsoleView",1321069973350
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321069973404
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321069978586
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321069978783
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321069981857
activated,view,org.eclipse.ui.console,3.5.100.v20110207,"org.eclipse.ui.console.ConsoleView",1321069982815
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321069984954
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321069985279
opened,view,com.android.ide.eclipse.ddms,15.0.0.v201110251216-213216,"com.android.ide.eclipse.ddms.views.LogCatView",1321069996775
activated,view,com.android.ide.eclipse.ddms,15.0.0.v201110251216-213216,"com.android.ide.eclipse.ddms.views.LogCatView",1321069996787
activated,view,org.eclipse.ui.console,3.5.100.v20110207,"org.eclipse.ui.console.ConsoleView",1321070004077
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321070008799
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20110207,"org.eclipse.jdt.launching.macosx",1321070045263
opened,view,org.eclipse.debug.ui,3.7.0.v20110304,"org.eclipse.debug.ui.DebugView",1321070049104
activated,perspective,org.eclipse.debug.ui,3.7.0.v20110304,"org.eclipse.debug.ui.DebugPerspective",1321070049152
activated,view,org.eclipse.debug.ui,3.7.0.v20110304,"org.eclipse.debug.ui.DebugView",1321070049160
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321070049335
opened,view,org.eclipse.debug.ui,3.7.0.v20110304,"org.eclipse.debug.ui.VariableView",1321070050489
started,bundle,org.eclipse.wst.jsdt.debug.core,1.1.0.v201109150205,"org.eclipse.wst.jsdt.debug.core",1321070050605
opened,view,org.eclipse.debug.ui,3.7.0.v20110304,"org.eclipse.debug.ui.BreakpointView",1321070050638
opened,editor,org.eclipse.debug.ui,3.7.0.v20110304,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1321070050830
started,bundle,com.adobe.flexbuilder.debug,4.5.1.313231,"com.adobe.flexbuilder.debug",1321070051035
activated,view,com.android.ide.eclipse.ddms,15.0.0.v201110251216-213216,"com.android.ide.eclipse.ddms.views.LogCatView",1321070058609
activated,view,org.eclipse.debug.ui,3.7.0.v20110304,"org.eclipse.debug.ui.DebugView",1321070064049
executed,command,org.eclipse.debug.ui,3.7.0.v20110304,"org.eclipse.debug.ui.commands.Resume",1321070064200
executed,command,org.eclipse.debug.ui,3.7.0.v20110304,"org.eclipse.debug.ui.commands.Resume",1321070080607
activated,view,com.android.ide.eclipse.ddms,15.0.0.v201110251216-213216,"com.android.ide.eclipse.ddms.views.LogCatView",1321070088052
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321070135617
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321070231147
activated,perspective,org.eclipse.jdt.ui,3.7.0.v20110309-1800,"org.eclipse.jdt.ui.JavaPerspective",1321070240094
activated,view,org.eclipse.ui.console,3.5.100.v20110207,"org.eclipse.ui.console.ConsoleView",1321070240098
activated,view,com.android.ide.eclipse.ddms,15.0.0.v201110251216-213216,"com.android.ide.eclipse.ddms.views.LogCatView",1321070241965
activated,view,org.eclipse.ui.ide,3.7.0.I20110310-1100,"org.eclipse.ui.views.ResourceNavigator",1321070249072
activated,view,com.android.ide.eclipse.ddms,15.0.0.v201110251216-213216,"com.android.ide.eclipse.ddms.views.LogCatView",1321070273961
activated,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1321070289042
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1321070291450
executed,command,org.eclipse.wst.sse.ui,1.2.5.v201108191505,"org.eclipse.wst.sse.ui.toggle.comment",1321070294416
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321070296104
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1321070296133
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.17,"org.tigris.subversion.clientadapter.javahl",1321070296147
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.15,"org.tigris.subversion.clientadapter.svnkit",1321070296151
started,bundle,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.as.editor",1321070299689
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321070302017
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321070309050
closed,editor,org.eclipse.debug.ui,3.7.0.v20110304,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1321070311610
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321070313198
activated,perspective,org.eclipse.debug.ui,3.7.0.v20110304,"org.eclipse.debug.ui.DebugPerspective",1321070316256
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321070316351
opened,editor,org.eclipse.debug.ui,3.7.0.v20110304,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1321070316569
activated,editor,org.eclipse.debug.ui,3.7.0.v20110304,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1321070316586
activated,perspective,org.eclipse.jdt.ui,3.7.0.v20110309-1800,"org.eclipse.jdt.ui.JavaPerspective",1321070320472
started,bundle,com.adobe.flexbuilder.css.editor,4.5.1.313231,"com.adobe.flexbuilder.css.editor",1321070322572
opened,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1321070322678
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1321070322711
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1321070323140
executed,command,org.eclipse.wst.sse.ui,1.2.5.v201108191505,"org.eclipse.wst.sse.ui.toggle.comment",1321070327977
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321070329179
