what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321118920068
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.copy",1321118924292
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1321118929116
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321118930066
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321118932682
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321118942870
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321118956478
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321118958681
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321118967395
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1321118995020
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321118999946
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321119001738
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321119003570
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321119014817
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321119028358
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321119030812
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321119038191
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321119044367
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321119046331
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321119049134
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321119058523
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321119074930
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321119107491
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321119256743
