what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320962888376
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320962894618
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1320962897083
activated,editor,org.eclipse.ui.browser,3.3.100.v20101220,"org.eclipse.ui.browser.editor",1320962899017
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1320962903676
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.copy",1320962905573
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1320962909406
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1320962913886
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1320962917006
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1320962921249
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1320962922217
activated,editor,org.eclipse.ui.browser,3.3.100.v20101220,"org.eclipse.ui.browser.editor",1320962925135
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1320962932728
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320962938010
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320963097780
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320963102099
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320963105188
activated,editor,org.eclipse.ui.browser,3.3.100.v20101220,"org.eclipse.ui.browser.editor",1320963110084
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1320963135937
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320963139192
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320963154499
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.goto.lineStart",1320963174885
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.goto.lineStart",1320963175063
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.copy",1320963190519
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1320963191833
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1320963192558
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320963223949
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320963226381
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.cut",1320963260135
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1320963265701
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1320963294216
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.copy",1320963309466
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1320963316085
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1320963316402
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1320963404107
activated,editor,org.eclipse.ui.browser,3.3.100.v20101220,"org.eclipse.ui.browser.editor",1320963406037
