what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321075814558
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321075822026
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321075827219
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321075828222
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321075832281
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321075843970
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321075845322
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321075849242
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.copy",1321075853251
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1321075854782
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321075855779
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321075856472
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321075859650
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321075864595
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321076259935
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321076276449
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321076278856
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1321076289019
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321076314604
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321076316176
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321076320287
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.cut",1321076398031
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1321076401406
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321076406796
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321076408275
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321076412734
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1321076419181
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321076431474
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321076451922
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1321076477888
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321076479694
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1321076486416
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321076510118
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321076581141
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321076586876
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321076593430
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321076597327
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321076599228
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1321076605243
executed,command,org.eclipse.wst.sse.ui,1.2.5.v201108191505,"org.eclipse.wst.sse.ui.toggle.comment",1321076610218
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321076611426
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321076649416
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321076651331
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321076655617
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321076658501
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1321076661384
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321076674519
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321076830729
