what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.ui.editors,3.7.0.v20110307-2000a,"org.eclipse.ui.DefaultTextEditor",1320636580407
activated,editor,org.eclipse.ui.editors,3.7.0.v20110307-2000a,"org.eclipse.ui.DefaultTextEditor",1320636580433
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1320636583075
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1320636584508
activated,view,org.eclipse.ui.ide,3.7.0.I20110310-1100,"org.eclipse.ui.views.ResourceNavigator",1320636586569
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320636590117
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320636595974
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320636598983
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320636615316
started,bundle,org.eclipse.wst.server.core,1.1.204.v20100908,"org.eclipse.wst.server.core",1320636615378
started,bundle,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui",1320636615391
started,bundle,com.adobe.flexbuilder.flexunit,4.5.1.313231,"com.adobe.flexbuilder.flexunit",1320636615500
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110207,"org.eclipse.jdt.debug",1320636615605
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110207,"org.eclipse.jdt.debug.ui",1320636615660
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110309-1800,"org.eclipse.jdt.junit.core",1320636615676
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320636618968
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320636639842
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320636641856
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320636643844
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320636653649
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320636661742
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320636664783
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320636666644
activated,view,org.eclipse.ui.ide,3.7.0.I20110310-1100,"org.eclipse.ui.views.ProblemView",1320636667992
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320636671297
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1320636747350
