what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1321071256368
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.copy",1321071256597
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1321071257385
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1321071260106
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1321071261918
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.undo",1321071263963
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1321071267826
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321071271945
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321071274842
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321071278866
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1321071279724
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.2.v201101042130,"org.eclipse.jst.jsf.facelet.core",1321071285180
started,bundle,org.eclipse.wst.dtd.core,1.1.402.v201109061850,"org.eclipse.wst.dtd.core",1321071285428
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1321071285474
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321071291510
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321071301504
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321071302042
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321071302640
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321071324521
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321071328787
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321071341905
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321071349778
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321071352896
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321071372108
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1321071373786
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.cut",1321071377632
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1321071379891
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321071380654
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321071381534
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321071384533
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321071386995
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321071397885
activated,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1321071398650
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321071404111
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321071431890
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1321071432838
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321071438137
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321071457517
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321071460805
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321071464728
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321071467914
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321071546370
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321071553710
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321071554690
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321071762463
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1321071766005
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321071772307
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321071777163
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1321071781303
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321071784665
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321071790818
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321071795352
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321071894911
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321071908229
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321071955572
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321071965718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321071968823
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321072064831
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.copy",1321072067511
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1321072071252
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321072081285
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1321072097816
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321072107742
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321072110805
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321072125514
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321072145493
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321072160295
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.moveLineDown",1321072163384
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.moveLineDown",1321072163956
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.moveLineUp",1321072164436
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321072171155
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321072171806
executed,command,org.eclipse.wst.sse.ui,1.2.5.v201108191505,"org.eclipse.wst.sse.ui.toggle.comment",1321072171839
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321072174259
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321072176431
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321072182222
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.moveLineUp",1321072184127
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.moveLineUp",1321072184763
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.moveLineDown",1321072186630
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321072194103
