what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321116241528
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321116243387
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321116257766
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321116271547
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.copy",1321116293059
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1321116294199
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321116307571
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1321116347665
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321116363608
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.copy",1321116373689
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1321116377939
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.copy",1321116409078
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.copy",1321116412673
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.copy",1321116458490
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1321116459629
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1321116460203
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.copy",1321116477493
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1321116480435
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.copy",1321116527910
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1321116529036
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321116534580
activated,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1321116563676
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321116611922
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321116615469
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321116618053
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1321116621163
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321116622782
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321116625340
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321116634070
activated,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1321116634510
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.moveLineDown",1321116636691
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.moveLineDown",1321116636900
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321116639897
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321116642627
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321116650783
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321116678188
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321116680688
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.copy",1321116688843
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1321116691176
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1321116692783
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.copy",1321116694382
activated,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1321116695422
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1321116695820
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321116696968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321116758146
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321116761696
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.cut",1321116774345
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1321116778089
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.copy",1321116784753
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1321116787523
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321116790881
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321116799855
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321116813324
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321116819978
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1321116833582
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.copy",1321116835297
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1321116837868
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1321116838694
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.cut",1321116857232
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1321116858712
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.cut",1321116873015
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1321116874592
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321116909740
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321116914152
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321116925066
activated,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1321116947592
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321116949135
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321116951875
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321117007950
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1321117061290
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321117067417
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321117069400
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321117092088
activated,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1321117094638
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321117097834
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321117099609
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321117106666
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321117110542
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321117141282
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.moveLineDown",1321117159494
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.moveLineDown",1321117159752
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.moveLineDown",1321117159952
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110306-1700,"org.eclipse.ui.edit.text.moveLineDown",1321117160130
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321117163969
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321117167309
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321117248772
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321117255248
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321117258691
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321117295767
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.copy",1321117297853
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1321117303825
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321117305379
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321117310112
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110307-1300,"",1321117571273
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1321117571687
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.copy",1321117596141
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1321117602357
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.cut",1321117609365
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1321117614460
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.file.save",1321117625053
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.cut",1321117632640
executed,command,org.eclipse.ui,3.7.0.I20110310-1100,"org.eclipse.ui.edit.paste",1321117638917
